City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
453,Mandeville,US,55.4,clear sky,30.36,-90.07,Hampton Inn Covington
457,Garoua,CM,71.6,few clouds,9.31,13.39,Hotel De L'Amitie
460,Kabinda,CD,68.7,overcast clouds,-6.14,24.49,Village Mianda Mutole
463,Sao Filipe,CV,72.34,overcast clouds,14.9,-24.5,Tortuga B&B
468,Santa Cruz,BR,73.85,overcast clouds,-6.22,-36.02,Pousada Trairi
469,Nouadhibou,MR,68.0,broken clouds,20.93,-17.03,El Medina
470,Springbok,ZA,58.95,clear sky,-29.67,17.88,Biesjesfontein B&B
471,Saint Anthony,US,50.0,broken clouds,43.97,-111.68,Hunter's Escape
474,Morgan City,US,53.01,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
477,Khandbari,NP,56.95,clear sky,27.38,87.21,Laxmi Hotel And Khajaghar
480,Atar,MR,73.74,broken clouds,20.52,-13.05,Oumou Elghoura
487,Port Lincoln,AU,60.91,clear sky,-34.72,135.86,Port Lincoln Hotel
493,Tripoli,GR,61.0,broken clouds,37.51,22.37,Arcadia Hotel
505,Agbor,NG,73.42,overcast clouds,6.26,6.15,Unity Bank - Pace Hotel Ltd
506,Abha,SA,55.4,scattered clouds,18.22,42.5,Abha Hotel
512,Chibuto,MZ,69.08,clear sky,-24.69,33.53,Hotel Mar Da Zinha
515,Rawatbhata,IN,71.1,clear sky,24.93,75.59,Bhainsrorgarh Fort Hotel
517,Kijang,KR,55.4,few clouds,35.24,129.21,Benikea Songjung Hotel
527,Puerto Suarez,BO,70.54,overcast clouds,-18.96,-57.8,Hotel casa real
529,Lasa,CY,68.0,few clouds,34.92,32.53,Ayii Anargyri Natural Healing Spa Resort
534,Aldergrove,CA,54.0,few clouds,49.06,-122.49,Best Western Plus Country Meadows Inn
535,Puerto Palomas,US,53.6,clear sky,31.78,-107.63,Los Milagros Hotel
536,Xucheng,CN,71.87,clear sky,33.0,118.51,Xiangjiang International Hotel
537,Isla Vista,US,63.0,clear sky,34.41,-119.86,Best Western Plus South Coast Inn
