City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
150,Ancud,CL,2019-11-16 01:26:44,-41.87,-73.83,51.8,87,50,10.29,scattered clouds,0.0,0.0
151,San Patricio,PY,2019-11-16 01:31:44,-26.98,-56.83,60.89,65,0,4.63,clear sky,0.0,0.0
152,Clyde River,CA,2019-11-16 01:31:44,70.47,-68.59,19.4,73,75,19.46,broken clouds,0.0,0.0
153,Winnemucca,US,2019-11-16 01:31:45,40.97,-117.74,53.6,27,40,4.7,scattered clouds,0.0,0.0
154,Menongue,AO,2019-11-16 01:31:45,-14.66,17.68,63.88,95,100,4.38,overcast clouds,0.0,0.0
155,Lewistown,US,2019-11-16 01:31:45,40.39,-90.15,35.6,80,1,5.57,clear sky,0.0,0.0
156,Aykhal,RU,2019-11-16 01:31:45,65.95,111.51,-13.0,91,90,4.47,snow,0.0,0.0
157,Farmington,US,2019-11-16 01:29:28,36.73,-108.21,51.8,18,1,3.36,clear sky,0.0,0.0
158,Huarmey,PE,2019-11-16 01:31:46,-10.07,-78.15,61.5,88,100,2.59,overcast clouds,0.0,0.0
159,Coquimbo,CL,2019-11-16 01:31:46,-29.95,-71.34,57.2,93,75,8.05,broken clouds,0.0,0.0
160,Dali,CN,2019-11-16 01:31:46,34.79,109.94,60.37,32,67,15.12,broken clouds,0.0,0.0
161,Atambua,ID,2019-11-16 01:31:47,-9.11,124.89,88.39,50,46,5.93,scattered clouds,0.0,0.0
162,Husavik,CA,2019-11-16 01:31:47,50.56,-96.99,25.0,69,99,1.99,overcast clouds,0.0,0.0
163,Zalantun,CN,2019-11-16 01:31:47,48.0,122.72,17.19,29,0,17.13,clear sky,0.0,0.0
164,Chandler,US,2019-11-16 01:30:39,33.31,-111.84,77.0,23,1,6.93,clear sky,0.0,0.0
165,Masterton,NZ,2019-11-16 01:31:48,-40.95,175.66,70.0,66,100,11.01,overcast clouds,0.0,0.0
166,Carutapera,BR,2019-11-16 01:31:48,-1.2,-46.02,80.89,80,11,17.76,few clouds,0.0,0.0
167,Luderitz,NA,2019-11-16 01:31:48,-26.65,15.16,64.4,77,83,13.87,broken clouds,0.0,0.0
168,Shenxian,CN,2019-11-16 01:31:49,36.24,115.67,57.54,47,0,7.99,clear sky,0.0,0.0
169,Suruc,TR,2019-11-16 01:31:49,36.98,38.42,57.2,38,22,4.7,few clouds,0.0,0.0
170,Myitkyina,MM,2019-11-16 01:31:49,25.38,97.4,78.62,50,2,0.76,clear sky,0.0,0.0
171,Pisco,PE,2019-11-16 01:29:00,-13.71,-76.2,66.2,88,90,9.17,overcast clouds,0.0,0.0
172,Almaznyy,RU,2019-11-16 01:31:50,48.03,40.04,39.2,86,40,24.61,scattered clouds,0.0,0.0
173,Hays,US,2019-11-16 01:31:17,38.88,-99.33,51.8,43,1,14.99,clear sky,0.0,0.0
174,Great Falls,US,2019-11-16 01:31:50,47.5,-111.29,55.99,40,90,17.22,overcast clouds,0.0,0.0
175,Airai,TL,2019-11-16 01:31:51,-8.93,125.41,87.93,27,9,10.04,clear sky,0.0,0.0
176,Pangnirtung,CA,2019-11-16 01:31:51,66.15,-65.72,10.58,70,10,7.14,clear sky,0.0,0.0
177,Hervey Bay,AU,2019-11-16 01:31:51,-25.3,152.85,87.01,51,0,12.75,clear sky,0.0,0.0
178,Victor Harbor,AU,2019-11-16 01:31:51,-35.55,138.62,64.0,44,75,16.11,broken clouds,0.0,0.0
179,Suamico,US,2019-11-16 01:31:52,44.63,-88.04,30.2,68,1,6.53,clear sky,0.0,0.0
180,Nanortalik,GL,2019-11-16 01:31:52,60.14,-45.24,30.87,71,97,7.45,light snow,0.0,0.5
181,Saldanha,PT,2019-11-16 01:31:52,41.42,-6.55,35.17,93,10,4.16,clear sky,0.0,0.0
182,Windhoek,NA,2019-11-16 01:29:25,-22.57,17.08,73.4,23,0,6.93,clear sky,0.0,0.0
183,Port Augusta,AU,2019-11-16 01:31:52,-32.49,137.76,63.0,55,40,12.75,scattered clouds,0.0,0.0
184,Upernavik,GL,2019-11-16 01:31:53,72.79,-56.15,25.59,94,100,15.95,light snow,0.0,1.5
185,Bambari,CF,2019-11-16 01:31:53,5.77,20.68,73.27,73,99,1.36,overcast clouds,0.0,0.0
186,Rivne,UA,2019-11-16 01:31:53,50.62,26.25,46.99,96,35,1.99,scattered clouds,0.0,0.0
187,Gat,SN,2019-11-16 01:31:53,14.69,-16.54,77.0,88,100,5.82,overcast clouds,0.0,0.0
188,Lakselv,NO,2019-11-16 01:31:53,70.05,24.96,30.2,80,23,11.41,few clouds,0.0,0.0
189,Berlevag,NO,2019-11-16 01:31:54,70.86,29.09,36.46,64,100,8.86,light snow,0.0,0.13
190,Klyuchi,RU,2019-11-16 01:31:54,52.25,79.17,2.08,68,9,6.6,clear sky,0.0,0.0
191,Bambous Virieux,MU,2019-11-16 01:31:54,-20.34,57.76,75.2,69,75,12.75,broken clouds,0.0,0.0
